"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0500000US34001","Atlantic County, New Jersey","1376","35",
"0500000US34003","Bergen County, New Jersey","1914","21",
"0500000US34005","Burlington County, New Jersey","1745","30",
"0500000US34007","Camden County, New Jersey","1402","20",
"0500000US34009","Cape May County, New Jersey","1360","96",
"0500000US34011","Cumberland County, New Jersey","1282","38",
"0500000US34013","Essex County, New Jersey","1531","19",
"0500000US34015","Gloucester County, New Jersey","1531","56",
"0500000US34017","Hudson County, New Jersey","1894","17",
"0500000US34019","Hunterdon County, New Jersey","1687","51",
"0500000US34021","Mercer County, New Jersey","1623","34",
"0500000US34023","Middlesex County, New Jersey","1871","20",
"0500000US34025","Monmouth County, New Jersey","1827","30",
"0500000US34027","Morris County, New Jersey","1904","30",
"0500000US34029","Ocean County, New Jersey","1755","30",
"0500000US34031","Passaic County, New Jersey","1621","17",
"0500000US34033","Salem County, New Jersey","1253","51",
"0500000US34035","Somerset County, New Jersey","2033","52",
"0500000US34037","Sussex County, New Jersey","1585","67",
"0500000US34039","Union County, New Jersey","1730","23",
"0500000US34041","Warren County, New Jersey","1409","39",
"0500000US36001","Albany County, New York","1313","26",
"0500000US36003","Allegany County, New York","763","30",
"0500000US36005","Bronx County, New York","1458","16",
"0500000US36007","Broome County, New York","941","22",
"0500000US36009","Cattaraugus County, New York","770","24",
"0500000US36011","Cayuga County, New York","942","46",
"0500000US36013","Chautauqua County, New York","812","21",
"0500000US36015","Chemung County, New York","1059","36",
"0500000US36017","Chenango County, New York","875","44",
"0500000US36019","Clinton County, New York","1003","37",
"0500000US36021","Columbia County, New York","1260","72",
"0500000US36023","Cortland County, New York","984","50",
"0500000US36025","Delaware County, New York","880","45",
"0500000US36027","Dutchess County, New York","1582","45",
"0500000US36029","Erie County, New York","1090","11",
"0500000US36031","Essex County, New York","934","69",
"0500000US36033","Franklin County, New York","843","22",
"0500000US36035","Fulton County, New York","912","32",
"0500000US36037","Genesee County, New York","929","31",
"0500000US36039","Greene County, New York","1004","74",
"0500000US36041","Hamilton County, New York","912","66",
"0500000US36043","Herkimer County, New York","823","32",
"0500000US36045","Jefferson County, New York","1213","32",
"0500000US36047","Kings County, New York","1833","9",
"0500000US36049","Lewis County, New York","837","57",
"0500000US36051","Livingston County, New York","931","42",
"0500000US36053","Madison County, New York","928","25",
"0500000US36055","Monroe County, New York","1173","12",
"0500000US36057","Montgomery County, New York","940","28",
"0500000US36059","Nassau County, New York","2252","41",
"0500000US36061","New York County, New York","2197","25",
"0500000US36063","Niagara County, New York","899","20",
"0500000US36065","Oneida County, New York","944","17",
"0500000US36067","Onondaga County, New York","1108","12",
"0500000US36069","Ontario County, New York","1150","35",
"0500000US36071","Orange County, New York","1680","32",
"0500000US36073","Orleans County, New York","874","35",
"0500000US36075","Oswego County, New York","967","27",
"0500000US36077","Otsego County, New York","987","42",
"0500000US36079","Putnam County, New York","1775","83",
"0500000US36081","Queens County, New York","1956","10",
"0500000US36083","Rensselaer County, New York","1217","26",
"0500000US36085","Richmond County, New York","1733","38",
"0500000US36087","Rockland County, New York","1901","41",
"0500000US36089","St. Lawrence County, New York","818","34",
"0500000US36091","Saratoga County, New York","1394","26",
"0500000US36093","Schenectady County, New York","1194","28",
"0500000US36095","Schoharie County, New York","909","39",
"0500000US36097","Schuyler County, New York","899","99",
"0500000US36099","Seneca County, New York","957","29",
"0500000US36101","Steuben County, New York","894","35",
"0500000US36103","Suffolk County, New York","2255","27",
"0500000US36105","Sullivan County, New York","1106","52",
"0500000US36107","Tioga County, New York","928","47",
"0500000US36109","Tompkins County, New York","1411","42",
"0500000US36111","Ulster County, New York","1425","48",
"0500000US36113","Warren County, New York","1105","30",
"0500000US36115","Washington County, New York","1033","47",
"0500000US36117","Wayne County, New York","938","32",
"0500000US36119","Westchester County, New York","1951","27",
"0500000US36121","Wyoming County, New York","802","39",
"0500000US36123","Yates County, New York","834","48",
