"",,,Total Workers !! Estimate,Total Workers !! Margin of Error
geoid,destination_name,origin_name,b302100_e1,b302100_m1
C4300US3400134001,"Atlantic County, New Jersey","Atlantic County, New Jersey","99,065","+/-2,337"
C4300US3400134003,"Bergen County, New Jersey","Atlantic County, New Jersey",160,+/-110
C4300US3400134005,"Burlington County, New Jersey","Atlantic County, New Jersey","2,590",+/-453
C4300US3400134007,"Camden County, New Jersey","Atlantic County, New Jersey","3,590",+/-434
C4300US3400134009,"Cape May County, New Jersey","Atlantic County, New Jersey","5,595",+/-600
C4300US3400134011,"Cumberland County, New Jersey","Atlantic County, New Jersey","4,255",+/-557
C4300US3400134013,"Essex County, New Jersey","Atlantic County, New Jersey",225,+/-153
C4300US3400134015,"Gloucester County, New Jersey","Atlantic County, New Jersey","2,470",+/-546
C4300US3400134017,"Hudson County, New Jersey","Atlantic County, New Jersey",135,+/-127
C4300US3400134019,"Hunterdon County, New Jersey","Atlantic County, New Jersey",10,+/-17
C4300US3400134021,"Mercer County, New Jersey","Atlantic County, New Jersey",305,+/-112
C4300US3400134023,"Middlesex County, New Jersey","Atlantic County, New Jersey",195,+/-108
C4300US3400134025,"Monmouth County, New Jersey","Atlantic County, New Jersey",580,+/-207
C4300US3400134027,"Morris County, New Jersey","Atlantic County, New Jersey",25,+/-26
C4300US3400134029,"Ocean County, New Jersey","Atlantic County, New Jersey","1,845",+/-393
C4300US3400134033,"Salem County, New Jersey","Atlantic County, New Jersey",260,+/-154
C4300US3400134035,"Somerset County, New Jersey","Atlantic County, New Jersey",120,+/-71
C4300US3400134039,"Union County, New Jersey","Atlantic County, New Jersey",140,+/-100
C4300US3400136005,"Bronx County, New York","Atlantic County, New Jersey",35,+/-51
C4300US3400136047,"Kings County, New York","Atlantic County, New Jersey",45,+/-51
C4300US3400136061,"New York County, New York","Atlantic County, New Jersey",225,+/-141
C4300US3400136081,"Queens County, New York","Atlantic County, New Jersey",25,+/-28
C4300US3400136085,"Richmond County, New York","Atlantic County, New Jersey",65,+/-86
C4300US3400136093,"Schenectady County, New York","Atlantic County, New Jersey",15,+/-26
C4300US3400136103,"Suffolk County, New York","Atlantic County, New Jersey",15,+/-25
C4300US3400136119,"Westchester County, New York","Atlantic County, New Jersey",185,+/-196
C4300US3400334001,"Atlantic County, New Jersey","Bergen County, New Jersey",115,+/-92
C4300US3400334003,"Bergen County, New Jersey","Bergen County, New Jersey","283,525","+/-3,770"
C4300US3400334005,"Burlington County, New Jersey","Bergen County, New Jersey",85,+/-77
C4300US3400334007,"Camden County, New Jersey","Bergen County, New Jersey",50,+/-42
C4300US3400334011,"Cumberland County, New Jersey","Bergen County, New Jersey",4,+/-7
C4300US3400334013,"Essex County, New Jersey","Bergen County, New Jersey","19,450","+/-1,317"
C4300US3400334015,"Gloucester County, New Jersey","Bergen County, New Jersey",160,+/-82
C4300US3400334017,"Hudson County, New Jersey","Bergen County, New Jersey","25,240","+/-1,523"
C4300US3400334019,"Hunterdon County, New Jersey","Bergen County, New Jersey",185,+/-71
C4300US3400334021,"Mercer County, New Jersey","Bergen County, New Jersey",555,+/-200
C4300US3400334023,"Middlesex County, New Jersey","Bergen County, New Jersey","4,090",+/-536
C4300US3400334025,"Monmouth County, New Jersey","Bergen County, New Jersey",845,+/-269
C4300US3400334027,"Morris County, New Jersey","Bergen County, New Jersey","12,585",+/-935
C4300US3400334029,"Ocean County, New Jersey","Bergen County, New Jersey",135,+/-76
C4300US3400334031,"Passaic County, New Jersey","Bergen County, New Jersey","22,825","+/-1,401"
C4300US3400334035,"Somerset County, New Jersey","Bergen County, New Jersey","2,435",+/-360
C4300US3400334037,"Sussex County, New Jersey","Bergen County, New Jersey",345,+/-168
C4300US3400334039,"Union County, New Jersey","Bergen County, New Jersey","6,315",+/-694
C4300US3400334041,"Warren County, New Jersey","Bergen County, New Jersey",195,+/-154
C4300US3400336001,"Albany County, New York","Bergen County, New Jersey",30,+/-27
C4300US3400336005,"Bronx County, New York","Bergen County, New Jersey","5,650",+/-835
C4300US3400336021,"Columbia County, New York","Bergen County, New Jersey",10,+/-16
C4300US3400336027,"Dutchess County, New York","Bergen County, New Jersey",85,+/-65
C4300US3400336033,"Franklin County, New York","Bergen County, New Jersey",15,+/-20
C4300US3400336047,"Kings County, New York","Bergen County, New Jersey","9,215",+/-957
C4300US3400336055,"Monroe County, New York","Bergen County, New Jersey",50,+/-51
C4300US3400336059,"Nassau County, New York","Bergen County, New Jersey","1,220",+/-295
C4300US3400336061,"New York County, New York","Bergen County, New Jersey","64,110","+/-2,061"
C4300US3400336063,"Niagara County, New York","Bergen County, New Jersey",120,+/-149
C4300US3400336067,"Onondaga County, New York","Bergen County, New Jersey",25,+/-39
C4300US3400336069,"Ontario County, New York","Bergen County, New Jersey",25,+/-43
C4300US3400336071,"Orange County, New York","Bergen County, New Jersey",700,+/-175
C4300US3400336077,"Otsego County, New York","Bergen County, New Jersey",15,+/-29
C4300US3400336081,"Queens County, New York","Bergen County, New Jersey","3,850",+/-558
C4300US3400336083,"Rensselaer County, New York","Bergen County, New Jersey",45,+/-57
C4300US3400336085,"Richmond County, New York","Bergen County, New Jersey",415,+/-202
C4300US3400336087,"Rockland County, New York","Bergen County, New Jersey","7,305",+/-725
C4300US3400336093,"Schenectady County, New York","Bergen County, New Jersey",4,+/-7
C4300US3400336103,"Suffolk County, New York","Bergen County, New Jersey",320,+/-136
C4300US3400336105,"Sullivan County, New York","Bergen County, New Jersey",105,+/-74
C4300US3400336113,"Warren County, New York","Bergen County, New Jersey",35,+/-53
C4300US3400336115,"Washington County, New York","Bergen County, New Jersey",40,+/-43
C4300US3400336117,"Wayne County, New York","Bergen County, New Jersey",40,+/-63
C4300US3400336119,"Westchester County, New York","Bergen County, New Jersey","4,170",+/-498
C4300US3400336123,"Yates County, New York","Bergen County, New Jersey",10,+/-18
C4300US3400534001,"Atlantic County, New Jersey","Burlington County, New Jersey","2,095",+/-327
C4300US3400534003,"Bergen County, New Jersey","Burlington County, New Jersey",410,+/-283
C4300US3400534005,"Burlington County, New Jersey","Burlington County, New Jersey","131,100","+/-2,489"
C4300US3400534007,"Camden County, New Jersey","Burlington County, New Jersey","25,440","+/-1,424"
C4300US3400534009,"Cape May County, New Jersey","Burlington County, New Jersey",180,+/-63
C4300US3400534011,"Cumberland County, New Jersey","Burlington County, New Jersey",490,+/-193
C4300US3400534013,"Essex County, New Jersey","Burlington County, New Jersey",860,+/-235
C4300US3400534015,"Gloucester County, New Jersey","Burlington County, New Jersey","3,600",+/-471
C4300US3400534017,"Hudson County, New Jersey","Burlington County, New Jersey",495,+/-147
C4300US3400534019,"Hunterdon County, New Jersey","Burlington County, New Jersey",235,+/-107
C4300US3400534021,"Mercer County, New Jersey","Burlington County, New Jersey","24,390","+/-1,420"
C4300US3400534023,"Middlesex County, New Jersey","Burlington County, New Jersey","4,490",+/-478
C4300US3400534025,"Monmouth County, New Jersey","Burlington County, New Jersey","2,155",+/-380
C4300US3400534027,"Morris County, New Jersey","Burlington County, New Jersey",325,+/-127
C4300US3400534029,"Ocean County, New Jersey","Burlington County, New Jersey","3,095",+/-421
C4300US3400534031,"Passaic County, New Jersey","Burlington County, New Jersey",75,+/-57
C4300US3400534033,"Salem County, New Jersey","Burlington County, New Jersey",365,+/-148
C4300US3400534035,"Somerset County, New Jersey","Burlington County, New Jersey","1,230",+/-257
C4300US3400534037,"Sussex County, New Jersey","Burlington County, New Jersey",45,+/-33
C4300US3400534039,"Union County, New Jersey","Burlington County, New Jersey",580,+/-206
C4300US3400534041,"Warren County, New Jersey","Burlington County, New Jersey",15,+/-22
C4300US3400536005,"Bronx County, New York","Burlington County, New Jersey",100,+/-95
C4300US3400536027,"Dutchess County, New York","Burlington County, New Jersey",15,+/-25
C4300US3400536037,"Genesee County, New York","Burlington County, New Jersey",50,+/-80
C4300US3400536047,"Kings County, New York","Burlington County, New Jersey",530,+/-252
C4300US3400536049,"Lewis County, New York","Burlington County, New Jersey",10,+/-18
C4300US3400536059,"Nassau County, New York","Burlington County, New Jersey",25,+/-36
C4300US3400536061,"New York County, New York","Burlington County, New Jersey","2,010",+/-324
C4300US3400536071,"Orange County, New York","Burlington County, New Jersey",10,+/-20
C4300US3400536081,"Queens County, New York","Burlington County, New Jersey",140,+/-88
C4300US3400536085,"Richmond County, New York","Burlington County, New Jersey",70,+/-90
C4300US3400536087,"Rockland County, New York","Burlington County, New Jersey",20,+/-30
C4300US3400536093,"Schenectady County, New York","Burlington County, New Jersey",10,+/-23
C4300US3400536103,"Suffolk County, New York","Burlington County, New Jersey",30,+/-31
C4300US3400536119,"Westchester County, New York","Burlington County, New Jersey",120,+/-99
C4300US3400734001,"Atlantic County, New Jersey","Camden County, New Jersey","4,685",+/-574
C4300US3400734003,"Bergen County, New Jersey","Camden County, New Jersey",100,+/-80
C4300US3400734005,"Burlington County, New Jersey","Camden County, New Jersey","36,670","+/-1,468"
C4300US3400734007,"Camden County, New Jersey","Camden County, New Jersey","134,950","+/-2,575"
C4300US3400734009,"Cape May County, New Jersey","Camden County, New Jersey",295,+/-112
C4300US3400734011,"Cumberland County, New Jersey","Camden County, New Jersey","1,840",+/-405
C4300US3400734013,"Essex County, New Jersey","Camden County, New Jersey",240,+/-110
C4300US3400734015,"Gloucester County, New Jersey","Camden County, New Jersey","20,590",+/-997
C4300US3400734017,"Hudson County, New Jersey","Camden County, New Jersey",275,+/-156
C4300US3400734019,"Hunterdon County, New Jersey","Camden County, New Jersey",80,+/-56
C4300US3400734021,"Mercer County, New Jersey","Camden County, New Jersey","4,590",+/-627
C4300US3400734023,"Middlesex County, New Jersey","Camden County, New Jersey","1,145",+/-355
C4300US3400734025,"Monmouth County, New Jersey","Camden County, New Jersey",345,+/-118
C4300US3400734027,"Morris County, New Jersey","Camden County, New Jersey",345,+/-158
C4300US3400734029,"Ocean County, New Jersey","Camden County, New Jersey",515,+/-167
C4300US3400734031,"Passaic County, New Jersey","Camden County, New Jersey",45,+/-41
C4300US3400734033,"Salem County, New Jersey","Camden County, New Jersey",620,+/-161
C4300US3400734035,"Somerset County, New Jersey","Camden County, New Jersey",240,+/-103
C4300US3400734037,"Sussex County, New Jersey","Camden County, New Jersey",30,+/-37
C4300US3400734039,"Union County, New Jersey","Camden County, New Jersey",90,+/-73
C4300US3400734041,"Warren County, New Jersey","Camden County, New Jersey",25,+/-40
C4300US3400736029,"Erie County, New York","Camden County, New Jersey",20,+/-25
C4300US3400736047,"Kings County, New York","Camden County, New Jersey",65,+/-59
C4300US3400736059,"Nassau County, New York","Camden County, New Jersey",15,+/-18
C4300US3400736061,"New York County, New York","Camden County, New Jersey",430,+/-178
C4300US3400736065,"Oneida County, New York","Camden County, New Jersey",25,+/-38
C4300US3400736071,"Orange County, New York","Camden County, New Jersey",15,+/-30
C4300US3400736081,"Queens County, New York","Camden County, New Jersey",10,+/-21
C4300US3400736085,"Richmond County, New York","Camden County, New Jersey",15,+/-24
