"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Los Angeles","Los Angeles","Los Angeles County","06037","CA","California","34.3219","-118.2247","9808667"
"Cook","Cook","Cook County","17031","IL","Illinois","41.8401","-87.8168","5182090"
"Harris","Harris","Harris County","48201","TX","Texas","29.8578","-95.3938","4838303"
"Maricopa","Maricopa","Maricopa County","04013","AZ","Arizona","33.3490","-112.4915","4559748"
"San Diego","San Diego","San Diego County","06073","CA","California","33.0343","-116.7350","3288774"
"Orange","Orange","Orange County","06059","CA","California","33.7031","-117.7609","3165820"
"Miami-Dade","Miami-Dade","Miami-Dade County","12086","FL","Florida","25.6150","-80.5624","2738356"
"Kings","Kings","Kings County","36047","NY","New York","40.6413","-73.9383","2631580"
"Dallas","Dallas","Dallas County","48113","TX","Texas","32.7666","-96.7778","2621179"
"Riverside","Riverside","Riverside County","06065","CA","California","33.7437","-115.9938","2478600"
"Clark","Clark","Clark County","32003","NV","Nevada","36.2152","-115.0135","2329548"
"Queens","Queens","Queens County","36081","NY","New York","40.7035","-73.8196","2323052"
"King","King","King County","53033","WA","Washington","47.4903","-121.8052","2287171"
"San Bernardino","San Bernardino","San Bernardino County","06071","CA","California","34.8414","-116.1785","2197104"
"Tarrant","Tarrant","Tarrant County","48439","TX","Texas","32.7719","-97.2911","2167390"
"Bexar","Bexar","Bexar County","48029","TX","Texas","29.4489","-98.5200","2067341"
"Broward","Broward","Broward County","12011","FL","Florida","26.1523","-80.4871","1977129"
"Santa Clara","Santa Clara","Santa Clara County","06085","CA","California","37.2318","-121.6951","1902047"
"Wayne","Wayne","Wayne County","26163","MI","Michigan","42.2822","-83.2830","1772259"
"Alameda","Alameda","Alameda County","06001","CA","California","37.6469","-121.8887","1649473"
"Middlesex","Middlesex","Middlesex County","25017","MA","Massachusetts","42.4856","-71.3918","1638365"
"New York","New York","New York County","36061","NY","New York","40.7792","-73.9668","1629477"
"Sacramento","Sacramento","Sacramento County","06067","CA","California","38.4493","-121.3443","1594006"
"Philadelphia","Philadelphia","Philadelphia County","42101","PA","Pennsylvania","40.0076","-75.1340","1579706"
"Palm Beach","Palm Beach","Palm Beach County","12099","FL","Florida","26.6476","-80.4655","1533806"
"Suffolk","Suffolk","Suffolk County","36103","NY","New York","40.8681","-72.8456","1530146"
"Hillsborough","Hillsborough","Hillsborough County","12057","FL","Florida","27.9292","-82.3088","1522748"
"Orange","Orange","Orange County","12095","FL","Florida","28.5144","-81.3235","1471937"
"Bronx","Bronx","Bronx County","36005","NY","New York","40.8501","-73.8671","1404779"
"Nassau","Nassau","Nassau County","36059","NY","New York","40.7326","-73.5862","1389591"
"Franklin","Franklin","Franklin County","39049","OH","Ohio","39.9695","-83.0093","1333048"
"Travis","Travis","Travis County","48453","TX","Texas","30.3344","-97.7820","1330015"
"Oakland","Oakland","Oakland County","26125","MI","Michigan","42.6604","-83.3858","1279825"
"Hennepin","Hennepin","Hennepin County","27053","MN","Minnesota","45.0046","-93.4770","1269496"
"Cuyahoga","Cuyahoga","Cuyahoga County","39035","OH","Ohio","41.4243","-81.6586","1245873"
"Allegheny","Allegheny","Allegheny County","42003","PA","Pennsylvania","40.4688","-79.9812","1238177"
"Salt Lake","Salt Lake","Salt Lake County","49035","UT","Utah","40.6673","-111.9236","1196523"
"Wake","Wake","Wake County","37183","NC","North Carolina","35.7903","-78.6503","1178653"
"Contra Costa","Contra Costa","Contra Costa County","06013","CA","California","37.9192","-121.9275","1165012"
"Collin","Collin","Collin County","48085","TX","Texas","33.1880","-96.5724","1163337"
"Mecklenburg","Mecklenburg","Mecklenburg County","37119","NC","North Carolina","35.2467","-80.8328","1154681"
"Fairfax","Fairfax","Fairfax County","51059","VA","Virginia","38.8368","-77.2770","1147837"
"Fulton","Fulton","Fulton County","13121","GA","Georgia","33.7903","-84.4671","1076561"
"Montgomery","Montgomery","Montgomery County","24031","MD","Maryland","39.1363","-77.2042","1065949"
"Pima","Pima","Pima County","04019","AZ","Arizona","32.0974","-111.7899","1060490"
"Duval","Duval","Duval County","12031","FL","Florida","30.3313","-81.6715","1023153"
"Fresno","Fresno","Fresno County","06019","CA","California","36.7582","-119.6493","1016725"
"Honolulu","Honolulu","Honolulu County","15003","HI","Hawaii","21.4899","-158.0739","1001146"
"Westchester","Westchester","Westchester County","36119","NY","New York","41.1626","-73.7561","999677"
"St. Louis","St. Louis","St. Louis County","29189","MO","Missouri","38.6407","-90.4434","995569"
"Gwinnett","Gwinnett","Gwinnett County","13135","GA","Georgia","33.9619","-84.0235","979864"
"Denton","Denton","Denton County","48121","TX","Texas","33.2055","-97.1168","979561"
"Capitol","Capitol","Capitol Planning Region","09110","CT","Connecticut","41.8185","-72.5720","977290"
"Marion","Marion","Marion County","18097","IN","Indiana","39.7817","-86.1385","975809"
"Pinellas","Pinellas","Pinellas County","12103","FL","Florida","27.9198","-82.7255","963481"
"Bergen","Bergen","Bergen County","34003","NJ","New Jersey","40.9597","-74.0742","962316"
"Prince George's","Prince George's","Prince George's County","24033","MD","Maryland","38.8295","-76.8473","959754"
"Erie","Erie","Erie County","36029","NY","New York","42.7639","-78.7323","950622"
"Pierce","Pierce","Pierce County","53053","WA","Washington","47.0239","-122.1041","930319"
"DuPage","DuPage","DuPage County","17043","IL","Illinois","41.8520","-88.0856","930024"
"Milwaukee","Milwaukee","Milwaukee County","55079","WI","Wisconsin","43.0072","-87.9669","926331"
"Shelby","Shelby","Shelby County","47157","TN","Tennessee","35.1843","-89.8938","919173"
"Kern","Kern","Kern County","06029","CA","California","35.3426","-118.7301","915075"
"Fort Bend","Fort Bend","Fort Bend County","48157","TX","Texas","29.5275","-95.7709","893767"
"Hidalgo","Hidalgo","Hidalgo County","48215","TX","Texas","26.3969","-98.1812","891977"
"Macomb","Macomb","Macomb County","26099","MI","Michigan","42.6957","-82.9323","879853"
"Middlesex","Middlesex","Middlesex County","34023","NJ","New Jersey","40.4392","-74.4117","871290"
"El Paso","El Paso","El Paso County","48141","TX","Texas","31.7686","-106.2348","870779"
"Worcester","Worcester","Worcester County","25027","MA","Massachusetts","42.3514","-71.9077","867788"
"Montgomery","Montgomery","Montgomery County","42091","PA","Pennsylvania","40.2108","-75.3673","867573"
"Essex","Essex","Essex County","34013","NJ","New Jersey","40.7880","-74.2481","863002"
"Baltimore","Baltimore","Baltimore County","24005","MD","Maryland","39.4629","-76.6395","850796"
"Snohomish","Snohomish","Snohomish County","53061","WA","Washington","48.0474","-121.6972","844430"
"Ventura","Ventura","Ventura County","06111","CA","California","34.4561","-119.0836","837469"
"Hamilton","Hamilton","Hamilton County","39061","OH","Ohio","39.1955","-84.5428","830774"
"San Francisco","San Francisco","San Francisco County","06075","CA","California","37.7556","-122.4450","830235"
"Lee","Lee","Lee County","12071","FL","Florida","26.5780","-81.8332","817666"
"Essex","Essex","Essex County","25009","MA","Massachusetts","42.6732","-70.9524","813054"
"Oklahoma","Oklahoma","Oklahoma County","40109","OK","Oklahoma","35.5515","-97.4072","806199"
"Multnomah","Multnomah","Multnomah County","41051","OR","Oregon","45.5468","-122.4149","801477"
"San Joaquin","San Joaquin","San Joaquin County","06077","CA","California","37.9348","-121.2714","797334"
"Polk","Polk","Polk County","12105","FL","Florida","27.9489","-81.6976","790694"
"Suffolk","Suffolk","Suffolk County","25025","MA","Massachusetts","42.3329","-71.0735","785121"
"Jefferson","Jefferson","Jefferson County","21111","KY","Kentucky","38.1872","-85.6591","783022"
"Cobb","Cobb","Cobb County","13067","GA","Georgia","33.9416","-84.5767","775208"
"DeKalb","DeKalb","DeKalb County","13089","GA","Georgia","33.7716","-84.2264","765351"
